-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  6.37   longitude 2.43 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 30.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS2M,ALLSKY_SFC_SW_DWN
2023,1,29.06,19.03,59.24,1.28,19.02
2023,2,29.4,20.65,65.19,1.55,17.86
2023,3,28.41,21.95,67.4,1.71,16.56
2023,4,29.44,21.63,65.03,1.11,17.55
2023,5,29.33,22.85,79.46,1.45,15.39
2023,6,29.26,24.43,85.79,1.43,12.85
2023,7,29.94,24.46,83.21,1.34,17.33
2023,8,27.82,23.61,83.63,1.44,18.74
2023,9,29.6,21.68,72.83,1.84,20.1
2023,10,29.82,21.92,79.15,1.5,20.06
2023,11,30.15,23.14,80.38,1.57,19.7
2023,12,29.48,23.71,84.05,1.75,17.54
2023,13,30.28,23.98,80.22,1.22,18.03
2023,14,29.92,21.09,72.07,1.71,19.81
2023,15,30.05,23.63,82.58,1.54,17.27
2023,16,29.12,24.48,81.65,1.38,19.46
2023,17,30.61,21.54,66.83,1.44,20.3
2023,18,30.48,22.14,76.23,1.45,18.6
2023,19,30.68,24.2,83.81,1.86,18.14
2023,20,30.74,24.67,83.64,2.16,16.71
2023,21,30.63,25.41,85.15,2.4,16.37
2023,22,29.59,25.46,86.46,2.15,14.69
2023,23,29.38,25.04,87.05,2.34,14.9
2023,24,29.3,25.29,85.05,2.12,18.6
2023,25,30.39,25.25,82.17,2.06,19.38
2023,26,29.43,25.24,86.47,2.78,19.22
2023,27,29.1,25.44,86.24,2.96,18.15
2023,28,28.4,25.58,88.66,3.04,11.91
2023,29,28.86,24.79,86.59,2.59,17.25
2023,30,28.27,24.91,87.5,2.59,18.02
2023,31,29.77,24.71,82.7,2.34,14.41
2023,32,31.15,24.67,83.13,2.03,19.37
2023,33,30.14,25.16,82.61,1.98,18.73
2023,34,30.79,25.12,83.03,1.82,19.28
2023,35,29.13,25.55,87.33,2.25,17.39
2023,36,28.84,25.92,88.39,2.96,17.18
2023,37,28.98,25.63,86.03,3.4,17.97
2023,38,30.66,24.68,77.3,1.98,17.31
2023,39,30.43,25.21,82.33,2.26,18.87
2023,40,30.79,25.0,82.43,1.96,19.46
2023,41,31.48,25.22,83.01,2.09,20.08
2023,42,31.93,25.31,84.09,2.2,20.23
2023,43,31.74,25.37,84.17,1.61,21.13
2023,44,30.58,25.62,85.91,1.65,20.95
2023,45,31.12,25.17,84.37,1.7,20.43
2023,46,30.63,25.42,82.47,1.48,20.69
2023,47,30.76,25.15,78.07,1.96,18.43
2023,48,30.53,23.0,64.81,2.06,14.6
2023,49,31.11,21.66,66.91,2.06,16.88
2023,50,31.01,22.88,70.64,1.47,15.6
2023,51,31.26,24.57,82.64,1.45,16.85
2023,52,31.57,24.88,84.47,1.91,17.94
2023,53,30.92,25.42,85.73,2.54,15.21
2023,54,30.83,25.54,84.95,2.78,17.23
2023,55,29.34,26.06,84.54,3.05,15.6
2023,56,30.44,25.01,81.2,2.17,15.28
2023,57,30.41,25.58,84.49,2.24,19.52
2023,58,30.48,25.98,84.9,2.83,18.33
2023,59,30.38,25.76,85.5,2.74,21.14
2023,60,30.75,25.92,83.95,2.4,21.99
2023,61,30.03,25.8,87.35,2.72,18.88
2023,62,30.35,25.83,85.54,2.32,19.33
2023,63,30.59,25.58,85.14,2.87,17.99
2023,64,30.76,25.64,83.7,2.85,19.74
2023,65,30.42,26.39,85.27,3.31,18.64
2023,66,30.64,25.83,81.52,2.75,16.77
2023,67,29.45,26.34,85.67,2.68,20.26
2023,68,30.3,26.24,84.72,2.97,20.4
2023,69,29.42,25.66,85.08,2.07,17.6
2023,70,30.01,26.17,86.08,2.44,16.92
2023,71,29.74,25.77,84.66,2.22,18.82
2023,72,30.56,24.92,85.23,2.27,21.61
2023,73,31.32,25.84,82.26,2.52,22.24
2023,74,30.66,26.05,81.51,2.49,21.19
2023,75,29.76,25.79,84.79,2.59,22.57
2023,76,30.39,25.95,81.13,2.29,23.0
2023,77,28.96,25.83,83.81,3.04,17.6
2023,78,30.39,25.55,78.68,2.14,21.6
2023,79,30.48,26.22,79.59,2.13,24.91
2023,80,29.86,25.91,83.25,2.48,20.36
2023,81,28.69,25.44,83.82,2.02,13.59
2023,82,31.06,24.96,78.95,1.66,24.34
2023,83,28.47,25.74,86.74,2.02,15.69
2023,84,30.13,25.51,81.78,2.11,16.66
2023,85,30.3,25.42,82.4,2.43,18.44
2023,86,30.04,25.27,83.21,2.14,18.0
2023,87,30.64,25.16,80.68,1.91,21.57
2023,88,29.41,25.63,86.67,2.6,20.71
2023,89,30.21,26.27,85.17,2.53,20.17
2023,90,30.7,25.96,81.5,2.17,12.41
2023,91,30.78,26.04,80.85,2.56,15.17
2023,92,30.39,26.38,83.29,2.17,18.94
2023,93,28.8,26.37,84.27,2.66,16.22
2023,94,30.48,26.13,82.15,2.36,14.33
2023,95,30.99,26.08,82.31,2.43,22.23
2023,96,30.54,26.03,85.69,2.85,21.19
2023,97,29.5,26.48,85.92,2.98,18.17
2023,98,29.41,26.36,87.6,2.7,17.95
2023,99,28.83,26.14,86.19,2.74,14.62
2023,100,30.02,25.7,85.16,2.35,20.3
2023,101,29.04,26.37,86.72,2.4,20.27
2023,102,29.94,26.33,84.87,2.29,17.46
2023,103,29.73,25.81,87.48,2.29,19.02
2023,104,29.79,25.85,88.05,2.17,19.59
2023,105,29.31,26.51,90.13,2.7,17.72
2023,106,30.32,26.04,84.1,1.75,21.69
2023,107,30.37,26.06,83.84,2.01,16.7
2023,108,30.42,25.93,85.04,1.86,19.06
2023,109,29.99,26.04,86.32,2.32,12.16
2023,110,29.21,25.51,85.62,2.16,20.69
2023,111,28.07,26.11,88.54,3.3,18.57
2023,112,29.69,25.96,86.48,3.13,19.39
2023,113,29.11,26.7,89.03,2.9,8.06
2023,114,29.34,26.31,83.29,1.25,15.73
2023,115,30.44,25.52,83.38,1.8,22.75
2023,116,29.07,26.08,86.72,2.47,14.95
2023,117,28.2,25.7,87.41,2.32,10.29
2023,118,30.24,25.17,81.97,2.13,17.35
2023,119,28.58,25.01,85.53,2.38,13.8
2023,120,27.96,24.58,84.01,2.43,13.98
2023,121,29.89,25.65,83.68,2.78,19.61
2023,122,30.22,25.61,80.36,2.21,20.85
2023,123,29.85,25.76,79.09,1.89,21.45
2023,124,29.61,25.69,84.94,1.8,20.27
2023,125,30.52,25.65,81.04,1.33,22.43
2023,126,29.55,25.94,82.48,2.23,14.67
2023,127,29.85,25.34,82.76,2.06,21.77
2023,128,30.01,25.61,84.2,1.69,19.27
2023,129,30.1,26.12,84.86,1.89,22.54
2023,130,29.4,26.9,87.02,2.75,21.27
2023,131,29.6,26.58,86.7,2.81,20.42
2023,132,29.81,26.85,85.01,1.8,17.61
2023,133,30.15,26.67,86.97,1.59,12.34
2023,134,29.9,26.45,88.8,2.02,13.65
2023,135,29.59,26.74,88.61,2.38,8.34
2023,136,29.85,26.46,86.64,2.58,14.84
2023,137,29.67,26.28,87.72,2.22,21.22
2023,138,29.56,26.55,85.13,1.45,13.12
2023,139,29.53,26.16,87.36,2.15,21.24
2023,140,29.85,26.11,86.88,2.12,12.09
2023,141,28.92,26.19,86.94,2.11,17.89
2023,142,30.45,25.7,84.55,1.79,16.13
2023,143,29.2,26.27,87.78,1.72,17.19
2023,144,29.32,26.35,87.29,1.86,18.27
2023,145,29.11,26.48,86.85,2.0,19.72
2023,146,29.53,26.31,85.62,2.51,20.14
2023,147,28.73,26.06,89.53,2.49,2.72
2023,148,29.45,25.5,87.3,2.52,18.52
2023,149,29.4,26.16,86.11,2.23,5.83
2023,150,29.0,26.17,85.42,1.85,18.96
2023,151,29.44,26.25,88.65,2.39,19.61
2023,152,29.04,26.52,89.25,2.41,15.77
2023,153,28.04,25.86,89.91,2.63,15.09
2023,154,28.64,25.56,86.08,2.28,9.88
2023,155,29.5,24.85,84.91,2.47,16.51
2023,156,28.81,25.65,87.55,2.96,19.76
2023,157,27.44,25.55,91.06,2.89,8.46
2023,158,27.43,25.06,89.47,2.6,11.19
2023,159,27.74,24.99,87.1,2.34,12.03
2023,160,29.08,24.78,85.13,2.09,19.33
2023,161,28.76,25.48,88.32,2.73,11.16
2023,162,27.87,25.43,88.49,3.1,8.91
